id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1181392667612962937,Elegant room with private bath,486026361,Victor,,Innes,45.44485,-75.51991,Private room,77,30,7,2025-01-01,0.80,4,270,7,STR-826-679
1181788133522846805,Downtown Luxury 1-BR condo,6237251,Joy,,Somerset,45.42242092155067,-75.69755293428898,Entire home/apt,102,30,1,2024-09-27,0.18,3,160,1,
1181873156173120659,Urban Queen in Luxury home FibreWiFi Free parking,104583371,Vivek,,Gloucester-South Nepean,45.32307,-75.60797,Private room,57,1,21,2024-12-31,2.40,3,270,21,STR-840-928
1182093494504613070,Equestrian Horse Farm Retreat in Osgoode,85297148,Genevieve,,Osgoode,45.09397,-75.59567,Entire home/apt,467,5,2,2024-09-18,0.28,36,0,2,STR-844-001
1182859233048620381,Luxury Furnished Home,271086550,Mitham,,Osgoode,45.30622,-75.59241,Entire home/apt,,30,0,,,1,364,0,
1183341457535014214,Bedroom Suite 1,584667087,Margot,,Rideau-Vanier,45.42742,-75.67539,Private room,195,1,5,2025-02-16,0.78,3,75,5,STR-839-708
1183561234082564031,Private 1 BR/1 BA (Shared) Kanata High-Tech Park,11584999,Pan Patrick,,West Carleton-March,45.36545,-75.93275,Private room,,30,1,2024-11-12,0.25,2,0,1,
1183647977794213067,"""KTM Cave "" A Cozy suite  near Ottawa Airport.",584759772,Deepak,,Gloucester-South Nepean,45.3273032,-75.5934947,Private room,58,1,122,2025-03-11,13.86,1,0,122,STR-841-212
1184049453543267753,NoMo Oasis: bright Urban Retreat min from downtown,107684727,Nicola,,Rideau-Vanier,45.440435854410495,-75.66004240858739,Entire home/apt,185,2,9,2025-02-17,1.80,1,259,9,STR-843-905
1184156915359898431,Ottawa Cozy Nest,61585278,Kim,,Kanata South,45.27218560232203,-75.85098333656788,Entire home/apt,183,30,0,,,3,364,0,
1184678828032324745,1-bedroom apartment,14380164,Gianvito,,Rideau-Vanier,45.4334,-75.69532,Entire home/apt,60,1,2,2024-10-01,0.28,3,31,2,STR-827-073
1184822728257894907,Beautiful 3 Bedrooms -Ottawa,507843378,Nidhi,,Kanata South,45.27277,-75.86417,Entire home/apt,115,2,24,2025-02-10,3.26,1,61,24,STR-841-952
1184913898916416020,Private Basement Apartment,585087574,Martha,,Rideau-Rockcliffe,45.42913,-75.65567,Private room,130,2,15,2025-01-15,1.87,1,351,15,STR-842-665
1184926410151188398,Graham Homestay - Room Q1,145712388,Wanqin,,College,45.3405423,-75.7984121,Private room,95,1,4,2024-10-12,0.47,2,357,4,STR-842-449
1184978403209330959,Graham Homestay - Room Q2,145712388,Wanqin,,College,45.3405423,-75.7984121,Private room,92,1,6,2024-11-03,0.70,2,322,6,STR-842-449
1185319473799346568,Gorgeous 2-bdrm in Carlingwood,174414055,Teshome,,Bay,45.3765,-75.77406,Entire home/apt,104,30,0,,,1,347,0,
1185457703217970376,Lovely Bright Large Family Home,71311257,Naomi,,Rideau-Goulbourn,45.23777,-75.7444,Entire home/apt,195,30,1,2024-09-01,0.16,3,341,1,
1186265637295979344,Charming Private Basement Suite + Free Parking,74515353,Hassaan,,Cumberland,45.45106,-75.47589,Entire home/apt,56,1,41,2025-02-23,5.52,2,143,41,STR-835-754
1186967475853073308,A place to find quality rest -21,486026361,Victor,,Innes,45.44335,-75.51913,Private room,64,30,9,2024-11-30,1.09,4,270,9,STR-826-679
1187166240279709785,Cozy 2-Bedroom City Retreat,37253652,Ameer,,Kitchissippi,45.40793,-75.73265,Entire home/apt,117,30,2,2025-01-28,0.74,7,244,2,
1187316992499753922,Lovely App Dowtown Ottawa 27B,41604531,Sam,,Rideau-Vanier,45.427,-75.68915,Entire home/apt,120,90,17,2024-11-12,2.03,24,270,17,Exempt
1187337649465312677,Lovely App Downtown Ottawa 256D,41604531,Sam,,Rideau-Vanier,45.42812,-75.68877,Entire home/apt,88,1,31,2025-02-25,5.08,24,267,31,Exempt
1187690477364688199,New and Spacious Home,537326639,Rocco,,Barrhaven,45.24754,-75.75657,Entire home/apt,163,2,12,2025-02-23,1.94,1,130,12,STR-840-923
1187806051003260976,Lovely Apt Downtown Ottawa 74D,41604531,Sam,,Rideau-Vanier,45.42889,-75.68426,Entire home/apt,110,1,28,2025-02-25,4.77,24,281,28,Exempt
1187823150415798611,Entire Place Downtown Ottawa 79D,41604531,Sam,,Rideau-Vanier,45.42913,-75.68454,Entire home/apt,,1,16,2025-02-21,2.21,24,330,16,Exempt
1187876373090178187,Downtown 1 Bedroom Suite,61161542,Maysa,,Somerset,45.42248673692308,-75.69749376560668,Entire home/apt,103,30,0,,,2,161,0,
1188000769473985527,Lovely App Downtown Ottawa 78D,41604531,Sam,,Rideau-Vanier,45.4284,-75.68273,Entire home/apt,113,1,61,2025-03-04,9.84,24,212,61,Exempt
1188370688235750597,Home by Barrhaven Marketplace 5BR*+Den & 3.5BATH,541421711,Hong,,Barrhaven,45.26111,-75.75346,Entire home/apt,225,2,10,2025-02-19,1.82,3,332,10,STR-837-024
1188491010799311202,*New Built* Beautiful 3BR 4.5BATH Home in Westboro,538085312,Genie,,Kitchissippi,45.38821,-75.73952,Entire home/apt,457,30,0,,,2,342,0,STR-836-468
1189374693433132506,Stylish Room Near Merival Market,51628690,Victor,,College,45.35408,-75.7368,Private room,39,30,4,2025-01-30,0.54,8,316,4,
1190663269420645537,3 Bedroom Central Apartment - 4 Bed & Free Parking,190611014,Kyler,,Somerset,45.41534144256228,-75.69966000309176,Entire home/apt,,1,28,2025-03-09,5.09,1,104,28,STR-844-441
1191524769517060183,New Ensuite Bedroom City Center,503296496,Jade,,Somerset,45.413434394460324,-75.69813646401472,Private room,117,30,0,,,14,364,0,Exempt
1191546918670209792,Home in Nepean,166098222,Hong-Son,,College,45.33656,-75.75859,Entire home/apt,135,30,2,2025-01-03,0.46,1,181,2,
1191612322489366665,Hamid ( Room 5),560222701,Hamid,,Bay,45.352387,-75.8030053,Private room,53,1,17,2024-11-04,2.17,7,89,17,STR-840-903
1192015829648706712,Bedroom Suite 2,584667087,Margot,,Rideau-Vanier,45.42834,-75.67649,Private room,271,1,6,2025-01-02,0.93,3,78,6,STR-839-708
1192015914164528737,Bedroom Suite 3,584667087,Margot,,Rideau-Vanier,45.42822,-75.67456,Private room,271,1,2,2024-09-01,0.25,3,60,2,STR-839-708
1192600701886772622,Chic Rental Apartment,423768453,Seynabou,,Beacon Hill-Cyrville,45.4514,-75.59696,Entire home/apt,144,30,0,,,26,365,0,STR-834-549
1192638221107345016,"Spacious room, students/workers",423768453,Seynabou,,Beacon Hill-Cyrville,45.45029,-75.59872,Private room,57,30,0,,,26,0,0,STR-834-549
1192860895196178312,"Women only please, room with forest view",568985758,Tracy,,Kanata South,45.30701,-75.88643,Private room,64,1,0,,,3,159,0,STR-841-462
1192975654138376497,Cozy 1 bed in Old Ottawa East,186738842,Brittany,,Capital,45.402799705530036,-75.67385341446176,Entire home/apt,113,1,41,2025-02-23,7.32,2,345,41,STR-844-855
1193642164450374449,Bright Private Bedroom in a Cozy Home (Left),129487127,Luke,,Barrhaven,45.29423,-75.73609,Private room,41,30,0,,,2,0,0,
1194118555050624699,Total Condo Comfort,423768453,Seynabou,,Beacon Hill-Cyrville,45.45136,-75.59884,Entire home/apt,,30,0,,,26,365,0,STR-834-549
1194465516456892134,Pet-friendly home with office & backyard,114722218,Stacie,,Rideau-Rockcliffe,45.44322941158223,-75.62787645394543,Entire home/apt,,2,0,,,3,0,0,STR-846-032
1194698036934949485,Central & Spacious 4BR Home - 13 Min to DT&Airport,109225918,Ahmed,,Knoxdale-Merivale,45.33317,-75.74443,Entire home/apt,151,1,7,2025-03-10,5.38,1,141,7,STR-845-973
1194819122020180053,Lovely Room Nepean Ottawa,203567613,Daniel,,Barrhaven,45.25499,-75.74475,Private room,,2,0,,,2,0,0,STR-831-862
1194859273604514052,Luxury executive home 1.3 acre,136230638,Jennifer,,Stittsville-Kanata West,45.24456,-75.91252,Entire home/apt,429,30,0,,,1,359,0,
1195227380978968019,Tranquil Retreat in Findlay Creek 3bdrm 3 bath,531925926,Anthony Karl,,Osgoode,45.3055746,-75.59515619999999,Entire home/apt,222,1,11,2024-12-29,1.36,1,61,11,STR-841-435
1195586345778620559,Luxury Entire home! 4bdrm4bthrm,573615174,Amir,,Kanata South,45.30454,-75.88021,Entire home/apt,288,90,24,2024-10-21,3.09,1,270,24,STR-234-999
1195650892476506992,The Studio at Park Avenue,588122335,Jean,,Somerset,45.41478,-75.6847,Entire home/apt,130,30,3,2025-02-01,0.43,1,316,3,
1195755835584190083,Master bedroom w/Ensuite Bathroom DT Ottawa,7931709,Xu,,Somerset,45.41806,-75.7059,Private room,111,1,15,2025-01-19,1.85,3,116,15,Exempt
